iter	RMSE
0	14.23178717
1	13.38687406
2	12.47946412
3	11.77676915
4	11.12756244
5	10.51712154
6	10.037432
7	9.585538325
8	9.152838157
9	8.710614521
10	8.353703242
11	8.006977476
12	7.7297145
13	7.457064615
14	7.216110557
15	7.034420447
16	6.827613441
17	6.64022261
18	6.508525262
19	6.367591723
20	6.224773052
21	6.113603034
22	6.01677797
23	5.919196647
24	5.833826989
25	5.76154859
26	5.680225705
27	5.610816217
28	5.554573946
29	5.500548534
30	5.462692142
31	5.422616968
32	5.381357762
33	5.342883031
34	5.311243682
35	5.281710699
36	5.251891459
37	5.220085417
38	5.18711079
39	5.168458472
40	5.144468641
41	5.127739391
42	5.110386086
43	5.095762938
44	5.069901441
45	5.047717236
46	5.02641083
47	5.013219994
48	5.00323187
49	4.994155939
50	4.980722123
51	4.962267809
52	4.94881316
53	4.93768665
54	4.923464211
55	4.903630574
56	4.890253784
57	4.883262187
58	4.874323662
59	4.863943265
60	4.843258922
61	4.83751495
62	4.828613691
63	4.820271512
64	4.814730723
65	4.805564027
66	4.799839715
67	4.787990077
68	4.782824735
69	4.764858458
70	4.751664316
71	4.747840769
72	4.734979507
73	4.728573155
74	4.722252162
75	4.714735354
76	4.705489429
77	4.696580123
78	4.682572037
79	4.675516422
80	4.671596654
81	4.659496537
82	4.648938008
83	4.636979682
84	4.628363009
85	4.618354559
86	4.608068081
87	4.602539217
88	4.589569254
89	4.584024662
90	4.576157652
91	4.567615569
92	4.550799031
93	4.546059315
94	4.540923111
95	4.533975919
96	4.520008438
97	4.514272179
98	4.510351238
99	4.505052435
