iter	Passed	Remaining
0	205	205362
1	209	104733
2	213	70960
3	217	54224
4	221	44159
5	226	37455
6	229	32609
7	234	29085
8	237	26178
9	239	23675
10	240	21665
11	242	19949
12	243	18503
13	245	17279
14	247	16237
15	248	15287
16	249	14430
17	250	13665
18	251	12980
19	252	12363
20	253	11803
21	253	11291
22	254	10824
23	255	10395
24	256	10001
25	257	9639
26	258	9300
27	258	8987
28	259	8704
29	260	8436
30	261	8180
31	262	7939
32	263	7713
33	263	7499
34	264	7298
35	265	7111
36	266	6929
37	267	6759
38	267	6597
39	268	6442
40	269	6294
41	269	6155
42	270	6022
43	271	5895
44	272	5774
45	272	5658
46	273	5555
47	275	5459
48	276	5357
49	276	5259
50	277	5164
51	278	5074
52	279	4985
53	279	4900
54	280	4819
55	281	4741
56	281	4665
57	282	4591
58	283	4520
59	284	4453
60	285	4389
61	285	4325
62	286	4263
63	287	4206
64	288	4153
65	289	4097
66	290	4043
67	291	3991
68	292	3941
69	293	3893
70	293	3846
71	294	3799
72	295	3754
73	296	3709
74	297	3666
75	298	3624
76	298	3583
77	299	3542
78	300	3501
79	301	3463
80	302	3426
81	302	3391
82	303	3356
83	304	3321
84	305	3286
85	306	3252
86	306	3219
87	307	3188
88	308	3157
89	309	3126
90	309	3096
91	310	3066
92	311	3037
93	312	3008
94	312	2980
95	313	2953
96	314	2927
97	315	2900
98	315	2875
99	316	2851
100	317	2828
101	318	2806
102	319	2783
103	320	2759
104	321	2737
105	321	2714
106	322	2691
107	323	2669
108	323	2647
109	324	2627
110	325	2606
111	326	2585
112	326	2565
113	327	2546
114	328	2527
115	329	2510
116	330	2491
117	330	2470
118	331	2451
119	331	2431
120	332	2416
121	333	2400
122	334	2384
123	335	2366
124	335	2350
125	336	2334
126	337	2318
127	337	2302
128	338	2287
129	339	2271
130	340	2257
131	341	2242
132	341	2228
133	342	2215
134	343	2201
135	344	2187
136	345	2174
137	345	2160
138	346	2148
139	347	2137
140	348	2124
141	349	2111
142	350	2099
143	351	2087
144	351	2075
145	352	2061
146	353	2050
147	354	2038
148	354	2027
149	355	2016
150	356	2005
151	357	1994
152	358	1983
153	359	1972
154	359	1961
155	360	1950
156	361	1939
157	362	1931
158	363	1924
159	364	1913
160	365	1902
161	365	1892
162	366	1882
163	367	1873
164	368	1863
165	369	1854
166	369	1845
167	370	1835
168	371	1826
169	372	1817
170	373	1808
171	373	1799
172	374	1790
173	375	1781
174	376	1773
175	377	1767
176	378	1758
177	378	1749
178	379	1741
179	380	1732
180	381	1724
181	381	1716
182	382	1706
183	382	1698
184	383	1690
185	384	1682
186	385	1675
187	386	1668
188	387	1660
189	387	1653
190	388	1645
191	389	1638
192	390	1630
193	390	1624
194	392	1618
195	393	1612
196	393	1605
197	394	1598
198	395	1591
199	396	1585
200	397	1579
201	398	1572
202	399	1566
203	400	1560
204	401	1555
205	401	1549
206	402	1543
207	403	1536
208	404	1530
209	405	1524
210	406	1518
211	407	1515
212	408	1510
213	409	1504
214	410	1498
215	411	1494
216	412	1488
217	413	1483
218	414	1478
219	415	1472
220	416	1466
221	416	1461
222	417	1455
223	418	1450
224	419	1444
225	420	1438
226	421	1433
227	422	1429
228	423	1424
229	423	1419
230	424	1413
231	425	1408
232	426	1403
233	427	1398
234	427	1392
235	428	1387
236	429	1382
237	430	1376
238	430	1371
239	431	1366
240	432	1361
241	432	1356
242	433	1350
243	434	1345
244	435	1341
245	436	1337
246	437	1334
247	438	1329
248	439	1325
249	440	1320
250	441	1316
251	441	1311
252	442	1307
253	443	1302
254	444	1297
255	444	1293
256	445	1288
257	446	1284
258	447	1279
259	448	1275
260	448	1271
261	449	1266
262	451	1264
263	452	1261
264	453	1257
265	454	1253
266	454	1248
267	455	1244
268	456	1241
269	457	1236
270	458	1232
271	459	1228
272	459	1224
273	460	1220
274	461	1217
275	462	1212
276	463	1209
277	463	1205
278	464	1201
279	465	1197
280	467	1195
281	468	1191
282	468	1187
283	469	1183
284	470	1180
285	471	1176
286	472	1172
287	472	1168
288	473	1165
289	474	1161
290	474	1157
291	475	1153
292	476	1149
293	477	1145
294	477	1142
295	478	1138
296	479	1135
297	480	1131
298	481	1129
299	482	1125
300	483	1122
301	484	1118
302	484	1115
303	485	1112
304	486	1108
305	487	1105
306	488	1101
307	488	1098
308	489	1094
309	490	1091
310	491	1087
311	491	1084
312	492	1081
313	493	1077
314	494	1074
315	494	1071
316	496	1069
317	497	1067
318	498	1063
319	499	1060
320	499	1057
321	500	1053
322	501	1050
323	502	1047
324	502	1044
325	503	1041
326	504	1038
327	505	1034
328	505	1031
329	506	1028
330	507	1025
331	508	1022
332	508	1019
333	509	1016
334	510	1013
335	511	1011
336	512	1008
337	513	1005
338	514	1002
339	515	999
340	515	997
341	516	994
342	517	991
343	518	988
344	518	985
345	519	982
346	520	979
347	520	976
348	521	973
349	522	970
350	523	967
351	523	964
352	525	962
353	526	960
354	527	957
355	527	954
356	528	952
357	529	949
358	530	946
359	530	943
360	531	941
361	532	938
362	533	935
363	534	933
364	534	930
365	535	927
366	536	925
367	537	922
368	537	919
369	538	917
370	539	914
371	540	913
372	541	910
373	542	908
374	543	905
375	544	903
376	544	900
377	545	898
378	546	895
379	547	892
380	548	890
381	548	887
382	549	885
383	550	882
384	550	880
385	551	877
386	552	874
387	552	872
388	553	869
389	554	867
390	555	865
391	556	863
392	557	860
393	557	858
394	558	855
395	559	853
396	560	850
397	560	848
398	561	846
399	562	843
400	563	841
401	563	838
402	564	836
403	565	833
404	565	831
405	566	829
406	567	826
407	568	824
408	569	822
409	570	820
410	570	818
411	571	815
412	572	813
413	573	811
414	573	808
415	574	806
416	575	804
417	576	802
418	576	800
